"","binary","cwe_checker","yara_rules","cve_bin_tool","size","compiler","static"
"1","3proxy",70,2,0,300624,"gcc(Alpine)","FALSE"
"2","ab",10,0,0,59744,"Unk","FALSE"
"3","ag",69,3,4,355576,"gcc(-)","TRUE"
"4","aircrack-ng",107,5,0,173368,"gcc(3.X)","FALSE"
"5","airdecap-ng",96,3,0,63640,"Unk","FALSE"
"6","airolib-ng",41,3,0,71912,"Unk","FALSE"
"7","apt-cache",86,0,0,88376,"gcc(3.X)","FALSE"
"8","apt-ftparchive",433,0,0,276800,"gcc(3.X)","FALSE"
"9","apt-mark",40,0,0,51512,"gcc(3.X)","FALSE"
"10","ar",278,4,0,1195384,"gcc(GNU)","TRUE"
"11","aria_chk",861,1,0,4484240,"gcc(-)","FALSE"
"12","aria_dump_log",807,1,0,4277296,"gcc(-)","FALSE"
"13","aria_ftdump",824,1,0,4293840,"gcc(-)","FALSE"
"14","aria_pack",818,1,0,4319984,"gcc(-)","FALSE"
"15","aria_read_log",869,1,0,4438704,"gcc(-)","FALSE"
"16","arj",311,3,0,394283,"Unk","FALSE"
"17","aspell",246,0,0,162144,"Unk","FALSE"
"18","atk6-alive6",116,0,0,81704,"Unk","FALSE"
"19","atk6-dnsdict6",37,5,0,994720,"Unk","FALSE"
"20","atk6-fake_router26",104,0,0,55248,"Unk","FALSE"
"21","atk6-firewall6",95,0,0,75696,"Unk","FALSE"
"22","atk6-fragmentation6",87,0,0,71624,"Unk","FALSE"
"23","atk6-fragrouter6",85,0,0,51152,"Unk","FALSE"
"24","atk6-fuzz_dhcps6",111,0,0,52464,"Unk","FALSE"
"25","atk6-fuzz_ip6",115,0,0,52040,"Unk","FALSE"
"26","atk6-implementation6",119,0,0,79792,"Unk","FALSE"
"27","atk6-thcping6",93,0,0,55240,"Unk","FALSE"
"28","atk6-trace6",82,0,0,51136,"Unk","FALSE"
"29","atril",30,0,0,481648,"Unk","FALSE"
"30","atril-previewer",1,0,0,51568,"Unk","FALSE"
"31","axel",44,1,0,68200,"Unk","FALSE"
"32","b2sum",24,1,0,60352,"Unk","FALSE"
"33","basenc",18,1,0,56160,"Unk","FALSE"
"34","bash",1601,2,1,1113504,"Unk","FALSE"
"35","bccmd",42,0,0,242160,"Unk","FALSE"
"36","bitmap",32,0,0,109528,"Unk","FALSE"
"37","bluemoon",51,0,0,92392,"Unk","FALSE"
"38","bluetoothctl",106,0,0,260816,"Unk","FALSE"
"39","bootctl",41,0,0,63832,"Unk","FALSE"
"40","broadwayd",11,1,0,121064,"Unk","FALSE"
"41","btattach",65,0,0,88296,"Unk","FALSE"
"42","btmgmt",152,0,0,368608,"Unk","FALSE"
"43","btmon",185,2,0,876728,"Unk","FALSE"
"44","btrfs-image",271,2,0,396432,"Unk","FALSE"
"45","bulk_extractor",2340,5,0,5172920,"gcc(3.X)","FALSE"
"46","bully",188,7,0,163792,"Unk","FALSE"
"47","busctl",23,0,0,84312,"Unk","FALSE"
"48","bwrap",32,0,0,59680,"Unk","FALSE"
"49","cadaver",165,0,0,115808,"Unk","FALSE"
"50","cgpt",23,2,0,63760,"Unk","TRUE"
"51","chage",29,0,0,80256,"Unk","FALSE"
"52","chcon",29,0,0,72768,"Unk","FALSE"
