,binary,cwe_checker,yara_rules,cve_bin_tool,size,compiler,static,domain
1,3proxy,70,2,0,300624,gcc(Alpine),FALSE,Network
2,ab,10,0,0,59744,Unk,FALSE,Network
3,ag,69,3,4,355576,gcc(-),TRUE,System
4,aircrack-ng,107,5,0,173368,gcc(3.X),FALSE,Network
5,airdecap-ng,96,3,0,63640,Unk,FALSE,System
6,airolib-ng,41,3,0,71912,Unk,FALSE,System
8,apt-ftparchive,433,0,0,276800,gcc(3.X),FALSE,Network
10,ar,278,4,0,1195384,gcc(GNU),TRUE,System
16,arj,311,3,0,394283,Unk,FALSE,System
17,aspell,246,0,0,162144,Unk,FALSE,System
18,atk6-alive6,116,0,0,81704,Unk,FALSE,Network
29,atril,30,0,0,481648,Unk,FALSE,System
30,atril-previewer,1,0,0,51568,Unk,FALSE,System
31,axel,44,1,0,68200,Unk,FALSE,Network
32,b2sum,24,1,0,60352,Unk,FALSE,System
33,basenc,18,1,0,56160,Unk,FALSE,System
34,bash,1601,2,1,1113504,Unk,FALSE,System
35,bccmd,42,0,0,242160,Unk,FALSE,Network
36,bitmap,32,0,0,109528,Unk,FALSE,System
37,bluemoon,51,0,0,92392,Unk,FALSE,Network
38,bluetoothctl,106,0,0,260816,Unk,FALSE,Network
39,bootctl,41,0,0,63832,Unk,FALSE,System
40,broadwayd,11,1,0,121064,Unk,FALSE,Network
41,btattach,65,0,0,88296,Unk,FALSE,Network
42,btmgmt,152,0,0,368608,Unk,FALSE,Network
43,btmon,185,2,0,876728,Unk,FALSE,Network
44,btrfs-image,271,2,0,396432,Unk,FALSE,System
45,bulk_extractor,2340,5,0,5172920,gcc(3.X),FALSE,System
46,bully,188,7,0,163792,Unk,FALSE,Network
47,busctl,23,0,0,84312,Unk,FALSE,Network
48,bwrap,32,0,0,59680,Unk,FALSE,System
49,cadaver,165,0,0,115808,Unk,FALSE,Network
50,cgpt,23,2,0,63760,Unk,TRUE,System
51,chage,29,0,0,80256,Unk,FALSE,System
52,chcon,29,0,0,72768,Unk,FALSE,System
53,cherrytree,2189,6,0,5051680,gcc(3.X),FALSE,System
54,chfn,31,0,0,58416,Unk,FALSE,System
55,chgrp,32,0,0,63672,Unk,FALSE,System
56,chmod,30,0,0,59608,Unk,FALSE,System
57,choom,18,0,0,51432,Unk,FALSE,System
