binary, out
3proxy, 2
ab, 0
ag, 3
aircrack-ng, 5
airdecap-ng, 3
airolib-ng, 3
apt-cache, 0
apt-ftparchive, 0
apt-mark, 0
ar, 4
aria_chk, 1
aria_dump_log, 1
aria_ftdump, 1
aria_pack, 1
aria_read_log, 1
arj, 3
aspell, 0
atk6-alive6, 0
atk6-dnsdict6, 5
atk6-fake_router26, 0
atk6-firewall6, 0
atk6-fragmentation6, 0
atk6-fragrouter6, 0
atk6-fuzz_dhcps6, 0
atk6-fuzz_ip6, 0
atk6-implementation6, 0
atk6-thcping6, 0
atk6-trace6, 0
atril, 0
atril-previewer, 0
axel, 1
b2sum, 1
basenc, 1
bash, 2
bccmd, 0
bitmap, 0
bluemoon, 0
bluetoothctl, 0
bootctl, 0
broadwayd, 1
btattach, 0
btmgmt, 0
btmon, 2
btrfs-image, 2
bulk_extractor, 5
bully, 7
busctl, 0
bwrap, 0
cadaver, 0
cgpt, 2
chage, 0
chcon, 0
cherrytree, 6
chfn, 0
chgrp, 0
chmod, 0
choom, 0
chown, 0
chsh, 0
cifsdd, 0
ciptool, 0
citrix, 2
cjpeg, 0
closed_source_web_server_fuzz, 2
cluster, 0
colormgr, 0
column, 0
corkscrew, 1
cp, 0
cpio, 0
crunch, 0
csplit, 0
curl, 0
curlftpfs, 0
cutycapt, 1
cvtsudoers, 1
dash, 0
date, 0
dbd, 0
dbus-daemon, 0
dceoversmb, 2
dd, 0
desktop-file-install, 0
desktop-file-validate, 0
df, 0
diff, 0
diff3, 0
dig, 0
dir, 0
dirb, 0
dirmngr, 2
dirmngr-client, 1
dmesg, 0
dns2tcpc, 1
dns2tcpd, 1
dos2unix, 0
do_post, 2
dpkg, 1
dpkg-deb, 1
dpkg-divert, 1
dpkg-query, 1
dpkg-split, 1
dpkg-statoverride, 0
dpkg-trigger, 1
du, 0
dumpcap, 0
dumpkeys, 0
ed, 0
edgepaint, 0
editcap, 0
editres, 0
eject, 0
engrampa, 0
eqn, 0
etterfilter, 0
etterlog, 0
exiv2, 0
exo-desktop-item-edit, 0
expr, 0
factor, 0
fastjar, 0
fidentify, 5
filan, 0
file, 0
find, 0
findmnt, 0
fish, 1
fiwalk, 3
flac, 0
futility, 6
g-ir-compiler, 0
gatttool, 0
gawk, 1
gdbus, 0
generic_chunked, 2
generic_listen_tcp, 2
generic_send_tcp, 2
generic_send_udp, 2
generic_web_server_fuzz, 2
generic_web_server_fuzz2, 2
gio, 0
git, 5
git-shell, 5
gnome-keyring-daemon, 0
gopherd, 2
gpasswd, 0
gpg, 3
gpg-agent, 1
gpg-connect-agent, 0
gpg-wks-server, 0
gpgcompose, 3
gpgconf, 0
gpgsm, 1
gpgsplit, 0
